time_signature,speechiness,danceability,duration_ms,energy,track_href,mode,uri,type,track_album_release_date,analysis_url,id,instrumentalness,valence,key,tempo,loudness,acousticness,liveness,Popularity_Type
4.0,0.145,0.741,231152.0,0.612,https://api.spotify.com/v1/tracks/3Z19t8pNaAHqlLmz2LuwNa,0.0,spotify:track:3Z19t8pNaAHqlLmz2LuwNa,audio_features,2023-10-04,https://api.spotify.com/v1/audio-analysis/3Z19t8pNaAHqlLmz2LuwNa,3Z19t8pNaAHqlLmz2LuwNa,5.81e-06,0.496,9.0,100.245,-7.327,0.204,0.133,Low
4.0,0.1,0.665,174667.0,0.675,https://api.spotify.com/v1/tracks/1rRwEeIXxEPnmOGUXoqcXC,0.0,spotify:track:1rRwEeIXxEPnmOGUXoqcXC,audio_features,2024-11-13,https://api.spotify.com/v1/audio-analysis/1rRwEeIXxEPnmOGUXoqcXC,1rRwEeIXxEPnmOGUXoqcXC,0.0,0.517,6.0,179.97,-10.243,0.262,0.331,Low
4.0,0.0659,0.511,221451.0,0.862,https://api.spotify.com/v1/tracks/09ttHg3ZNVgDlYBZa1ZBw0,1.0,spotify:track:09ttHg3ZNVgDlYBZa1ZBw0,audio_features,2024-08-23,https://api.spotify.com/v1/audio-analysis/09ttHg3ZNVgDlYBZa1ZBw0,09ttHg3ZNVgDlYBZa1ZBw0,1.86e-06,0.361,10.0,98.021,-5.677,0.0656,0.0939,High
4.0,0.0437,0.869,238810.0,0.538,https://api.spotify.com/v1/tracks/35cWnQKyLjmzkq81M51D9n,0.0,spotify:track:35cWnQKyLjmzkq81M51D9n,audio_features,2019-08-30,https://api.spotify.com/v1/audio-analysis/35cWnQKyLjmzkq81M51D9n,35cWnQKyLjmzkq81M51D9n,0.128,0.742,2.0,141.017,-6.239,0.333,0.162,Low
4.0,0.22,0.667,167699.0,0.449,https://api.spotify.com/v1/tracks/0cVblLzgMfLJwvyMLfb3qB,0.0,spotify:track:0cVblLzgMfLJwvyMLfb3qB,audio_features,2022-07-15,https://api.spotify.com/v1/audio-analysis/0cVblLzgMfLJwvyMLfb3qB,0cVblLzgMfLJwvyMLfb3qB,0.0432,0.386,6.0,199.905,-11.041,0.407,0.0953,Low
4.0,0.027,0.592,329733.0,0.767,https://api.spotify.com/v1/tracks/48UPSzbZjgc449aqz8bxox,0.0,spotify:track:48UPSzbZjgc449aqz8bxox,audio_features,1999-06-08,https://api.spotify.com/v1/audio-analysis/48UPSzbZjgc449aqz8bxox,48UPSzbZjgc449aqz8bxox,0.00165,0.328,9.0,96.483,-2.788,0.0021,0.127,High
4.0,0.29,0.347,382760.0,0.493,https://api.spotify.com/v1/tracks/5nkUIVKqOqdpB6ApKgEMkv,0.0,spotify:track:5nkUIVKqOqdpB6ApKgEMkv,audio_features,2013-01-01,https://api.spotify.com/v1/audio-analysis/5nkUIVKqOqdpB6ApKgEMkv,5nkUIVKqOqdpB6ApKgEMkv,0.00366,0.308,8.0,82.887,-11.548,0.455,0.127,High
4.0,0.14,0.569,186635.0,0.83,https://api.spotify.com/v1/tracks/4bPQs0PHn4xbipzdPfn6du,0.0,spotify:track:4bPQs0PHn4xbipzdPfn6du,audio_features,2005-09-27,https://api.spotify.com/v1/audio-analysis/4bPQs0PHn4xbipzdPfn6du,4bPQs0PHn4xbipzdPfn6du,0.0,0.609,9.0,170.094,-4.106,0.0807,0.114,High
4.0,0.0463,0.802,113895.0,0.171,https://api.spotify.com/v1/tracks/2baDpSKIRz3t7NTs6Z5CAx,1.0,spotify:track:2baDpSKIRz3t7NTs6Z5CAx,audio_features,2024-10-04,https://api.spotify.com/v1/audio-analysis/2baDpSKIRz3t7NTs6Z5CAx,2baDpSKIRz3t7NTs6Z5CAx,0.909,0.523,2.0,86.032,-14.176,0.684,0.101,Low
5.0,0.243,0.435,270866.0,0.811,https://api.spotify.com/v1/tracks/4MDkWrmycdgiNC8wPtk3O7,1.0,spotify:track:4MDkWrmycdgiNC8wPtk3O7,audio_features,2024-07-05,https://api.spotify.com/v1/audio-analysis/4MDkWrmycdgiNC8wPtk3O7,4MDkWrmycdgiNC8wPtk3O7,0.0,0.487,1.0,171.723,-2.969,0.0659,0.0861,Low
